Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
24AWG High Voltage Silicone Wire 3000V – Red,Connecting the INMP441 to the PCB,1,0.2,https://robu.in/product/24awg-high-voltage-silicone-wire-3000v-red/,Robu
PCB,2-layers PCB,1,11.85,https://jlcpcb.com,JLCPCB
3d Printing of Case Shipping,For the Case Shipping Charges by Souptik Samanta,1,3.41,https://app.slack.com/client/E09V59WQY1E/C095YP8GLKT,Souptik Samanta via Printing Legion
WS2811 Neopixel LED Strip 60LED/MTR - 12V Addressable LED Strip (5 Meter Pack),LED,1,6.6,https://quartzcomponents.com/products/led-strip-ws2811-non-waterproof-60led-mtr?variant=43998632804586&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic?utm_source=google&utm_medium=FreeListings&gad_source=1&gad_campaignid=20505738210&gbraid=0AAAAACPPFdO-RsbPQEnSoftWjFAWjTe6_&gclid=Cj0KCQjwkYLPBhC3ARIsAIyHi3SfTPIEVRr-BIY-_0PvQc8F5C1hPgOFEIkoqv-DdNr_KikiOU2QIBoaArzWEALw_wcB,Quartz Components
24AWG High Quality Ultra Flexible Silicone Wire – Yellow,Connecting the INMP441 to the PCB,2,0.2,https://robu.in/product/high-quality-ultra-flexible-24awg-silicone-wire-yellow/,Robu
24AWG High Quality Ultra Flexible Silicone Wire – Blue,Connecting the INMP441 to the PCB,2,0.2,https://robu.in/product/high-quality-ultra-flexible-24awg-silicone-wire-1000m-blue/,Robu
"M3 X 25mm Hex (Allen) CSK SS 304 Screw (Dia. 3mm, Length 25mm)",Screws,4,1.15,https://onlyscrews.in/products/m3-x-25mm-hex-allen-csk-ss-304-screw?variant=49181133799737,OnlyScrews
"M3 X 6mm Brass Threaded Inserts (Dia. 3mm, Length 6mm)",Screws Inserts,4,0.15,https://onlyscrews.in/products/m3-x-6mm-brass-threaded-inserts?variant=49418769203513,OnlyScrews
SN74AHCT125N,Level Shifting of Data,1,1.1,https://robu.in/product/sn74ahct125n-texas-instruments-8ma-1-4-5v5-5v-8ma-4-dip-14-buffers-drivers-receivers-transceivers-rohs/,Robu
68 ohms resistor,Resistance,44,0.15,https://robu.in/product/68-ohm-0-25w-metal-film-resistor-pack-of-100/,Robu
XIAO ESP32S3,MCU,1,9.9,https://robocraze.com/products/seeed-studio-xiao-esp32-s3-development-board-supports-wi-fi-bluetooth-5-0?_pos=2&_psq=seeed&_ss=e&_v=1.0,RoboCraze
INMP441 I2S Microphone,For Audio,1,2.1,https://robocraze.com/products/inmp441-mems-high-precision-omnidirectional-microphone-module-i2s?variant=44013298778336&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&utm_source=google&utm_medium=cpc&utm_campaign=BL+%7C+Pmax+%7C+Feed+Only+%7C+RoboCraze+%7C+Electronic+Components+%7C+31%2F05&utm_source=googleads&utm_medium=ppc&utm_campaign=21337209786&utm_content=_&utm_term=&campaignid=21337209786&adgroupid=&campaign=21337209786&gad_source=1&gad_campaignid=21343423652&gbraid=0AAAAADgHQvbxasRZUxOiQZXifpMMypWUJ&gclid=Cj0KCQjwkYLPBhC3ARIsAIyHi3QcPoxT8zFgw-EHv9DycpeCdUBRzYf57K5qU6GTAVpEpT5dH_MCyzYaAsCvEALw_wcB,Robo Craze
1n5822 Diode,Diode,2,0.51,http://robu.in/product/1n5822-mdd-40v-525mv3a-3a-do-201ad-schottky-diodes-rohs/,Robu
LM2596S-5.0,Step Down Voltage,1,0.73,https://robu.in/product/lm2596s-5-0-xblw-step-down-type-fixed-5v-to-263-5l-dc-dc-converters-rohs/,Robu
"SRR1208-330YL-BOURNS-2.8A 33uH ±15% 3.8A SMD,12.7×12.7mm Power Inductor",12v to 5v,1,1.25,https://robu.in/product/srr1208-330yl-bourns-2-8a-33uh-%C2%B115-3-8a-smd12-7x12-7mm-power-inductors-rohs/,Robu
Nichicon-220uF 50V,Decoupling,2,0.5,https://robu.in/product/uhe1h221mpd-nichicon-220uf-50v-84m%cf%89100khz-%c2%b120-1-05a100khz-plugind10xl16mm-aluminum-electrolytic-capacitors-leaded-rohs/,Robu
Nichicon 470uf 50v,Decoupling,3,1.05,https://robu.in/product/uhe1h471mhd6-nichicon-470uf-50v-45m%cf%89100khz-%c2%b120-1-66a100khz-plugind12-5xl20mm-aluminum-electrolytic-capacitors-leaded-rohs/,Robu
100nf Disc Capacitor,Decoupling,8,0.1,https://robu.in/product/100nf-50v-disc-capacitor/,Robu
PJ-102A,12v Power Input(QTY is 2 cuz min order qty is 2),2,3.23,https://www.lioncircuits.com/parts/PJ-102A,Lion Circuits
TAX,GST,1,1.3,N/A,
SHIPPING,Shipping Cost,1,1.32,N/A,
